County,A10i,A21,B3B,incomegpnew,freq
Embu,Male,None ,Running own business/Self employed,Don't Know,2
Baringo,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",6
Kiambu,Male,None ,Casual worker,"KSh 10,001-20,000",1
Siaya,Male,University completed ,Pension/Annuity,"KSh 5,001 - 10,000",1
Elgeyo-Marakwet,Female,Some primary ,Casual worker,"KSh 3,001 - 5,000",2
Nairobi City,Female,University completed ,Employed,"KSh 20,001 - 50,000",2
Nairobi City,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Kisii,Female,Some primary ,Casual worker,"KSh 5,001 - 10,000",1
Elgeyo-Marakwet,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",6
Nakuru,Female,Some secondary,Money / support from family / friends / spouse,Don't Know,1
Kakamega,Male,Primary completed,Money / support from family / friends / spouse,Don't Know,7
Nakuru,Male,None ,Casual worker,Don't Know,1
Kericho,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",4
Elgeyo-Marakwet,Male,Primary completed,Casual worker,"KSh 1 - 1,000",4
Isiolo,Female,None ,Casual worker,"KSh 3,001 - 5,000",4
Baringo,Male,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",2
Kajiado,Male,Primary completed,Employed,"KSh 20,001 - 50,000",1
Migori,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",10
Kitui,Male,None ,Casual worker,"KSh 1,001 - 3,000",2
Elgeyo-Marakwet,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",3
Mombasa,Female,Secondary completed ,Employed,"KSh 10,001-20,000",1
Nyeri,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",4
Kisii,Male,Some secondary,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Lamu,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",3
Bomet,Male,Secondary completed ,Casual worker,"KSh 1 - 1,000",6
Mombasa,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Bungoma,Female,Primary completed,Running own business/Self employed,"KSh 1,001 - 3,000",1
Nyamira,Male,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",1
Siaya,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Nandi,Female,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Kisumu,Male,Some secondary,Casual worker,"KSh 1 - 1,000",7
Homabay,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Marsabit,Male,Completed technical training after secondary school,Employed,"KSh 50,001 - 100,000",1
Kilifi,Female,Secondary completed ,Running own business/Self employed,"KSh 1,001 - 3,000",2
Nakuru,Male,Secondary completed ,Running own business/Self employed,"KSh 50,001 - 100,000",2
Wajir,Male,None ,Casual worker,"KSh 20,001 - 50,000",2
Mombasa,Male,University completed ,Running own business/Self employed,"KSh 20,001 - 50,000",2
Marsabit,Female,Completed technical training after secondary school,Casual worker,"KSh 20,001 - 50,000",1
Nyandarua,Female,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Machakos,Male,Secondary completed ,Employed,"KSh 10,001-20,000",7
Kilifi,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",2
Machakos,Female,Some primary ,Casual worker,"KSh 3,001 - 5,000",6
Tharaka-Nithi,Male,None ,Casual worker,"KSh 1 - 1,000",2
Baringo,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",8
Garissa,Female,None ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",19
Garissa,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",7
Kakamega,Male,Some secondary,Casual worker,"KSh 3,001 - 5,000",3
Elgeyo-Marakwet,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",9
Narok,Male,None ,Casual worker,Don't Know,4
Murang'a,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Baringo,Female,Completed technical training after secondary school,Casual worker,"KSh 1,001 - 3,000",1
Marsabit,Female,None ,Casual worker,"KSh 1,001 - 3,000",8
Tana River,Male,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",11
Kakamega,Male,Some primary ,Running own business/Self employed,Don't Know,3
Embu,Female,Some primary ,Running own business/Self employed,Don't Know,4
Kitui,Female,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",1
Bomet,Male,None ,Money from  NGO / Government,"KSh 3,001 - 5,000",1
Kisumu,Male,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Busia,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Trans Nzoia,Female,Completed technical training after secondary school,Running own business/Self employed,"KSh 3,001 - 5,000",2
Nairobi City,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 10,001-20,000",4
Kwale,Female,Completed technical training after secondary school,Casual worker,"KSh 1,001 - 3,000",1
Tharaka-Nithi,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",9
Migori,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",5
Kakamega,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",5
Kwale,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",5
Embu,Female,None ,Money from  NGO / Government,Don't Know,3
Nairobi City,Male,Secondary completed ,Money / support from family / friends / spouse,Don't Know,13
West Pokot,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Kilifi,Male,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",3
Wajir,Male,None ,Employed,Don't Know,1
Vihiga,Male,Some secondary,Casual worker,"KSh 1,001 - 3,000",3
Bomet,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",6
Elgeyo-Marakwet,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Nakuru,Female,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",3
Kericho,Male,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",3
Nandi,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Samburu,Female,None ,Casual worker,"KSh 3,001 - 5,000",6
Uasin Gishu,Male,University completed ,Running own business/Self employed,Refused to Answer,1
Uasin Gishu,Male,None ,Money / support from family / friends / spouse,Don't Know,2
Marsabit,Female,Some university,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Machakos,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Taita-Taveta,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Lamu,Male,Some primary ,Running own business/Self employed,"KSh 10,001-20,000",3
Bungoma,Male,Other (Specify) ,Running own business/Self employed,Don't Know,1
Garissa,Male,Secondary completed ,Employed,"KSh 5,001 - 10,000",1
Nyamira,Female,None ,Money from  NGO / Government,"KSh 1,001 - 3,000",6
Kiambu,Male,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",2
Nyandarua,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,2
Meru,Male,Secondary completed ,Money / support from family / friends / spouse,Don't Know,2
Kisumu,Male,Some primary ,Running own business/Self employed,"KSh 3,001 - 5,000",2
Marsabit,Female,None ,Casual worker,"KSh 5,001 - 10,000",24
Turkana,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",18
Homabay,Male,Some primary ,Running own business/Self employed,"KSh 3,001 - 5,000",4
Embu,Female,None ,Money from  NGO / Government,"KSh 1,001 - 3,000",3
Murang'a,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Kiambu,Male,University completed ,Running own business/Self employed,"KSh 20,001 - 50,000",3
Kirinyaga,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Busia,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Taita-Taveta,Male,University completed ,Employed,"KSh 20,001 - 50,000",3
Isiolo,Male,Other (Specify) ,Casual worker,"KSh 3,001 - 5,000",1
Kisii,Female,Some technical training after secondary school,Employed,"KSh 20,001 - 50,000",1
Trans Nzoia,Male,Completed technical training after secondary school,Employed,"KSh 20,001 - 50,000",3
Taita-Taveta,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",5
Makueni,Male,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Kirinyaga,Female,Some primary ,Employed,"KSh 3,001 - 5,000",1
Samburu,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",6
West Pokot,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,2
Lamu,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Homabay,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Kisii,Female,Completed technical training after secondary school,Running own business/Self employed,"KSh 3,001 - 5,000",1
Meru,Female,Some secondary,Money / support from family / friends / spouse,Refused to Answer,1
Wajir,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,14
Elgeyo-Marakwet,Male,Secondary completed ,Running own business/Self employed,"KSh 3,001 - 5,000",1
Vihiga,Male,Other (Specify) ,Employed,"KSh 5,001 - 10,000",1
Uasin Gishu,Male,Completed technical training after secondary school,Employed,"KSh 10,001-20,000",6
Kakamega,Female,Some primary ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",3
Nakuru,Male,Some secondary,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Kisumu,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
West Pokot,Male,Completed technical training after secondary school,Employed,"KSh 3,001 - 5,000",2
Homabay,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",2
Trans Nzoia,Male,Some secondary,Money / support from family / friends / spouse,Don't Know,15
Kakamega,Male,Secondary completed ,Running own business/Self employed,"KSh 1,001 - 3,000",3
Bomet,Female,Secondary completed ,Money / support from family / friends / spouse,Don't Know,6
Kiambu,Male,Primary completed,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Kericho,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",3
Samburu,Female,Primary completed,Casual worker,"KSh 10,001-20,000",1
Kitui,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",5
Nairobi City,Male,Completed technical training after secondary school,Running own business/Self employed,Don't Know,4
Nairobi City,Male,Some secondary,Employed,"KSh 10,001-20,000",1
West Pokot,Male,Some primary ,Employed,"KSh 10,001-20,000",1
Kisumu,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",6
Kisii,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",11
Kitui,Female,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",10
Kakamega,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",4
Meru,Female,Some primary ,Employed,"KSh 5,001 - 10,000",1
Turkana,Male,None ,Running own business/Self employed,"KSh 1 - 1,000",13
Homabay,Female,Some primary ,Money from  NGO / Government,"KSh 1,001 - 3,000",1
Kajiado,Female,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",4
Machakos,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",2
Kitui,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",8
Kisumu,Female,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",1
Nairobi City,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",2
Tharaka-Nithi,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Kiambu,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Bungoma,Male,Some secondary,Running own business/Self employed,"KSh 20,001 - 50,000",1
Kisii,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",5
Kilifi,Male,Completed technical training after secondary school,Casual worker,"KSh 5,001 - 10,000",1
Kajiado,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",2
Nyamira,Female,Some primary ,Casual worker,"KSh 3,001 - 5,000",4
Nairobi City,Female,None ,Running own business/Self employed,Don't Know,1
Marsabit,Male,Some primary ,Money / support from family / friends / spouse,Don't Know,2
Meru,Female,Primary completed,Casual worker,Don't Know,1
Machakos,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",13
Nakuru,Female,Secondary completed ,Employed,"KSh 20,001 - 50,000",2
Homabay,Female,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Nakuru,Male,Secondary completed ,Casual worker,"KSh 10,001-20,000",9
Busia,Female,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",3
Kilifi,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Nairobi City,Female,Some university,Employed,"KSh 20,001 - 50,000",2
West Pokot,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Meru,Female,Primary completed,Money / support from family / friends / spouse,Don't Know,1
Vihiga,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",5
Siaya,Female,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",3
Kiambu,Female,Some secondary,Money / support from family / friends / spouse,"KSh 50,001 - 100,000",1
Taita-Taveta,Female,University completed ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Bungoma,Male,Some primary ,Running own business/Self employed,Don't Know,2
Uasin Gishu,Male,Secondary completed ,Casual worker,"KSh 1 - 1,000",1
Homabay,Female,Some secondary,Casual worker,"KSh 1 - 1,000",8
Nyeri,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Bungoma,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",3
Turkana,Male,Some secondary,Money / support from family / friends / spouse,Don't Know,3
Marsabit,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",2
Isiolo,Male,None ,Running own business/Self employed,"KSh 10,001-20,000",1
Kisumu,Female,Some primary ,Running own business/Self employed,"KSh 1 - 1,000",2
Kakamega,Male,None ,Running own business/Self employed,Don't Know,1
Wajir,Female,None ,Casual worker,"KSh 5,001 - 10,000",14
Garissa,Male,None ,Money from  NGO / Government,"KSh 1,001 - 3,000",2
Machakos,Female,None ,Money from  NGO / Government,"KSh 3,001 - 5,000",1
Kitui,Male,Primary completed,Casual worker,"KSh 1,001 - 3,000",9
Migori,Female,None ,Money / support from family / friends / spouse,"KSh 1 - 1,000",4
Marsabit,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",4
Lamu,Female,None ,Casual worker,"KSh 3,001 - 5,000",2
Nyeri,Male,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",6
Embu,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",5
Uasin Gishu,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",5
Wajir,Female,None ,Running own business/Self employed,"KSh 10,001-20,000",3
Homabay,Female,Some primary ,Employed,"KSh 1,001 - 3,000",1
Nakuru,Male,Primary completed,Money / support from family / friends / spouse,"KSh 10,001-20,000",2
Migori,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",5
Bungoma,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",10
Kirinyaga,Female,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",2
Nyeri,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",3
Nakuru,Male,Some university,Casual worker,"KSh 10,001-20,000",3
